type,value
CCN(worst),32
CCN(average),3.3
CCN(violate),4
LOC(worst),174
LOC(average),20.8
LOC(violate),0
Parameter(worst),10
Parameter(average),1.7
Parameter(violate),20
Token(worst),1371
Token(average),158.1
CCN(warning),22
LOC(warning),33
Parameter(warning),20
