type,value
CCN(worst),47
CCN(average),4.1
CCN(violate),1
LOC(worst),195
LOC(average),17.0
LOC(violate),0
Parameter(worst),3
Parameter(average),1.5
Parameter(violate),0
Token(worst),1469
Token(average),115.0
CCN(warning),1
LOC(warning),1
Parameter(warning),0
