type,value
CCN(worst),9
CCN(average),2.5
CCN(violate),0
LOC(worst),80
LOC(average),18.7
LOC(violate),0
Parameter(worst),5
Parameter(average),1.6
Parameter(violate),0
Token(worst),730
Token(average),142.5
CCN(warning),0
LOC(warning),2
Parameter(warning),0
