type,value
CCN(worst),205
CCN(average),2.5
CCN(violate),80
LOC(worst),1088
LOC(average),14.2
LOC(violate),17
Parameter(worst),16
Parameter(average),1.3
Parameter(violate),101
Token(worst),7396
Token(average),80.1
CCN(warning),1258
LOC(warning),1676
Parameter(warning),101
