type,value
CCN(worst),13
CCN(average),2.2
CCN(violate),0
LOC(worst),71
LOC(average),13.8
LOC(violate),0
Parameter(worst),5
Parameter(average),1.4
Parameter(violate),0
Token(worst),626
Token(average),122.5
CCN(warning),2
LOC(warning),3
Parameter(warning),0
