type,value
CCN(worst),9
CCN(average),2.3
CCN(violate),0
LOC(worst),40
LOC(average),10.5
LOC(violate),0
Parameter(worst),3
Parameter(average),0.5
Parameter(violate),0
Token(worst),352
Token(average),80.8
CCN(warning),0
LOC(warning),0
Parameter(warning),0
