type,value
CCN(worst),2
CCN(average),1.2
CCN(violate),0
LOC(worst),130
LOC(average),28.8
LOC(violate),0
Parameter(worst),3
Parameter(average),1.4
Parameter(violate),0
Token(worst),641
Token(average),153.4
CCN(warning),0
LOC(warning),1
Parameter(warning),0
