type,value
CCN(worst),23
CCN(average),4.2
CCN(violate),3
LOC(worst),176
LOC(average),27.2
LOC(violate),0
Parameter(worst),11
Parameter(average),3.2
Parameter(violate),11
Token(worst),2015
Token(average),235.9
CCN(warning),10
LOC(warning),21
Parameter(warning),11
