type,value
CCN(worst),3
CCN(average),1.7
CCN(violate),0
LOC(worst),88
LOC(average),15.7
LOC(violate),0
Parameter(worst),2
Parameter(average),0.9
Parameter(violate),0
Token(worst),565
Token(average),88.3
CCN(warning),0
LOC(warning),2
Parameter(warning),0
