type,value
CCN(worst),30
CCN(average),1.8
CCN(violate),1
LOC(worst),87
LOC(average),8.0
LOC(violate),0
Parameter(worst),5
Parameter(average),2.0
Parameter(violate),0
Token(worst),806
Token(average),68.2
CCN(warning),1
LOC(warning),1
Parameter(warning),0
