type,value
CCN(worst),3
CCN(average),1.6
CCN(violate),0
LOC(worst),13
LOC(average),8.8
LOC(violate),0
Parameter(worst),1
Parameter(average),0.6
Parameter(violate),0
Token(worst),103
Token(average),57.6
CCN(warning),0
LOC(warning),0
Parameter(warning),0
