type,value
CCN(worst),2
CCN(average),1.2
CCN(violate),0
LOC(worst),182
LOC(average),47.7
LOC(violate),0
Parameter(worst),3
Parameter(average),1.4
Parameter(violate),0
Token(worst),716
Token(average),218.6
CCN(warning),0
LOC(warning),2
Parameter(warning),0
