type,value
CCN(worst),9
CCN(average),3.2
CCN(violate),0
LOC(worst),57
LOC(average),23.0
LOC(violate),0
Parameter(worst),4
Parameter(average),2.0
Parameter(violate),0
Token(worst),806
Token(average),194.1
CCN(warning),0
LOC(warning),2
Parameter(warning),0
