type,value
CCN(worst),8
CCN(average),2.6
CCN(violate),0
LOC(worst),100
LOC(average),20.7
LOC(violate),0
Parameter(worst),6
Parameter(average),2.2
Parameter(violate),0
Token(worst),472
Token(average),162.2
CCN(warning),0
LOC(warning),2
Parameter(warning),0
