type,value
CCN(worst),4
CCN(average),4.0
CCN(violate),0
LOC(worst),35
LOC(average),35.0
LOC(violate),0
Parameter(worst),1
Parameter(average),1.0
Parameter(violate),0
Token(worst),316
Token(average),316.0
CCN(warning),0
LOC(warning),0
Parameter(warning),0
