type,value
CCN(worst),7
CCN(average),1.5
CCN(violate),0
LOC(worst),28
LOC(average),7.7
LOC(violate),0
Parameter(worst),7
Parameter(average),2.0
Parameter(violate),1
Token(worst),220
Token(average),59.3
CCN(warning),0
LOC(warning),0
Parameter(warning),1
