type,value
CCN(worst),10
CCN(average),1.5
CCN(violate),0
LOC(worst),48
LOC(average),9.0
LOC(violate),0
Parameter(worst),9
Parameter(average),1.7
Parameter(violate),3
Token(worst),365
Token(average),62.8
CCN(warning),0
LOC(warning),0
Parameter(warning),3
