type,value
CCN(worst),9
CCN(average),2.1
CCN(violate),0
LOC(worst),376
LOC(average),15.3
LOC(violate),1
Parameter(worst),5
Parameter(average),1.5
Parameter(violate),0
Token(worst),1461
Token(average),92.6
CCN(warning),0
LOC(warning),3
Parameter(warning),0
