type,value
CCN(worst),21
CCN(average),3.0
CCN(violate),1
LOC(worst),149
LOC(average),20.4
LOC(violate),0
Parameter(worst),7
Parameter(average),1.5
Parameter(violate),3
Token(worst),1237
Token(average),157.5
CCN(warning),4
LOC(warning),4
Parameter(warning),3
