type,value
CCN(worst),1
CCN(average),1.0
CCN(violate),0
LOC(worst),5
LOC(average),4.4
LOC(violate),0
Parameter(worst),2
Parameter(average),0.4
Parameter(violate),0
Token(worst),36
Token(average),22.3
CCN(warning),0
LOC(warning),0
Parameter(warning),0
