type,value
CCN(worst),17
CCN(average),2.9
CCN(violate),0
LOC(worst),95
LOC(average),16.1
LOC(violate),0
Parameter(worst),11
Parameter(average),2.2
Parameter(violate),8
Token(worst),1032
Token(average),141.0
CCN(warning),4
LOC(warning),5
Parameter(warning),8
