type,value
CCN(worst),3
CCN(average),1.5
CCN(violate),0
LOC(worst),14
LOC(average),8.3
LOC(violate),0
Parameter(worst),2
Parameter(average),0.3
Parameter(violate),0
Token(worst),126
Token(average),59.0
CCN(warning),0
LOC(warning),0
Parameter(warning),0
