type,value
CCN(worst),7
CCN(average),1.6
CCN(violate),0
LOC(worst),48
LOC(average),12.3
LOC(violate),0
Parameter(worst),4
Parameter(average),1.2
Parameter(violate),0
Token(worst),535
Token(average),93.7
CCN(warning),0
LOC(warning),0
Parameter(warning),0
