type,value
CCN(worst),5
CCN(average),2.4
CCN(violate),0
LOC(worst),21
LOC(average),13.6
LOC(violate),0
Parameter(worst),3
Parameter(average),1.3
Parameter(violate),0
Token(worst),202
Token(average),98.7
CCN(warning),0
LOC(warning),0
Parameter(warning),0
