type,value
CCN(worst),8
CCN(average),2.1
CCN(violate),0
LOC(worst),64
LOC(average),19.3
LOC(violate),0
Parameter(worst),4
Parameter(average),1.8
Parameter(violate),0
Token(worst),554
Token(average),163.1
CCN(warning),0
LOC(warning),1
Parameter(warning),0
