type,value
CCN(worst),39
CCN(average),3.8
CCN(violate),3
LOC(worst),167
LOC(average),22.5
LOC(violate),0
Parameter(worst),3
Parameter(average),1.4
Parameter(violate),0
Token(worst),1363
Token(average),180.3
CCN(warning),5
LOC(warning),11
Parameter(warning),0
