type,value
CCN(worst),3
CCN(average),1.6
CCN(violate),0
LOC(worst),25
LOC(average),8.4
LOC(violate),0
Parameter(worst),2
Parameter(average),0.3
Parameter(violate),0
Token(worst),199
Token(average),57.5
CCN(warning),0
LOC(warning),0
Parameter(warning),0
