type,value
CCN(worst),8
CCN(average),3.1
CCN(violate),0
LOC(worst),48
LOC(average),19.2
LOC(violate),0
Parameter(worst),1
Parameter(average),0.8
Parameter(violate),0
Token(worst),383
Token(average),145.6
CCN(warning),0
LOC(warning),0
Parameter(warning),0
