type,value
CCN(worst),16
CCN(average),4.6
CCN(violate),0
LOC(worst),82
LOC(average),23.0
LOC(violate),0
Parameter(worst),6
Parameter(average),1.4
Parameter(violate),0
Token(worst),619
Token(average),149.3
CCN(warning),2
LOC(warning),3
Parameter(warning),0
