type,value
CCN(worst),9
CCN(average),2.4
CCN(violate),0
LOC(worst),52
LOC(average),15.8
LOC(violate),0
Parameter(worst),10
Parameter(average),2.2
Parameter(violate),3
Token(worst),645
Token(average),135.0
CCN(warning),0
LOC(warning),1
Parameter(warning),3
