type,value
CCN(worst),6
CCN(average),1.7
CCN(violate),0
LOC(worst),34
LOC(average),9.4
LOC(violate),0
Parameter(worst),6
Parameter(average),1.4
Parameter(violate),0
Token(worst),353
Token(average),77.4
CCN(warning),0
LOC(warning),0
Parameter(warning),0
