type,value
CCN(worst),4
CCN(average),1.8
CCN(violate),0
LOC(worst),39
LOC(average),17.7
LOC(violate),0
Parameter(worst),3
Parameter(average),1.2
Parameter(violate),0
Token(worst),372
Token(average),157.8
CCN(warning),0
LOC(warning),0
Parameter(warning),0
