type,value
CCN(worst),7
CCN(average),2.0
CCN(violate),0
LOC(worst),32
LOC(average),12.6
LOC(violate),0
Parameter(worst),2
Parameter(average),0.9
Parameter(violate),0
Token(worst),299
Token(average),84.0
CCN(warning),0
LOC(warning),0
Parameter(warning),0
