type,value
CCN(worst),8
CCN(average),1.6
CCN(violate),0
LOC(worst),150
LOC(average),38.0
LOC(violate),0
Parameter(worst),3
Parameter(average),1.7
Parameter(violate),0
Token(worst),628
Token(average),171.4
CCN(warning),0
LOC(warning),4
Parameter(warning),0
