type,value
CCN(worst),4
CCN(average),2.0
CCN(violate),0
LOC(worst),31
LOC(average),14.0
LOC(violate),0
Parameter(worst),1
Parameter(average),0.5
Parameter(violate),0
Token(worst),201
Token(average),99.7
CCN(warning),0
LOC(warning),0
Parameter(warning),0
